iter	Passed	Remaining
445	1142	1419
446	1144	1415
447	1145	1412
448	1147	1408
449	1149	1404
450	1150	1400
451	1151	1396
452	1153	1392
453	1156	1390
454	1158	1387
455	1160	1384
456	1161	1380
457	1163	1376
458	1164	1372
459	1166	1369
460	1167	1365
461	1171	1364
462	1173	1361
463	1175	1358
464	1177	1354
465	1179	1351
466	1180	1347
467	1182	1343
468	1185	1342
469	1187	1338
470	1189	1335
471	1190	1331
472	1192	1328
473	1193	1324
474	1194	1320
475	1196	1317
476	1199	1315
477	1201	1312
478	1204	1309
479	1205	1306
480	1207	1303
481	1209	1300
482	1211	1296
483	1215	1296
484	1217	1292
485	1219	1289
486	1220	1285
487	1221	1281
488	1223	1278
489	1224	1274
490	1226	1271
491	1229	1269
492	1231	1266
493	1233	1262
494	1234	1259
495	1235	1255
496	1238	1252
497	1240	1250
498	1242	1247
499	1245	1245
500	1247	1242
501	1249	1239
502	1251	1236
503	1252	1233
504	1254	1229
505	1255	1226
506	1259	1225
507	1261	1221
508	1262	1218
509	1264	1214
510	1265	1211
511	1267	1207
512	1268	1204
513	1269	1200
514	1274	1200
515	1275	1196
516	1277	1193
517	1278	1189
518	1280	1186
519	1281	1182
520	1282	1179
521	1284	1176
522	1288	1174
523	1290	1172
524	1292	1169
525	1294	1166
526	1296	1163
527	1300	1162
528	1305	1162
529	1307	1159
530	1308	1155
531	1309	1152
532	1311	1148
533	1312	1145
534	1314	1142
535	1317	1140
536	1319	1137
537	1320	1134
538	1322	1130
539	1323	1127
540	1325	1124
541	1327	1121
542	1328	1118
543	1330	1115
544	1333	1113
545	1335	1110
546	1336	1107
547	1338	1103
548	1340	1100
549	1341	1097
550	1342	1094
551	1344	1091
552	1348	1089
553	1349	1086
554	1351	1083
555	1352	1080
556	1354	1077
557	1355	1073
558	1357	1070
559	1358	1067
560	1363	1066
561	1365	1063
562	1366	1060
563	1368	1057
564	1369	1054
565	1371	1051
566	1372	1048
567	1374	1045
568	1378	1044
569	1380	1041
570	1381	1038
571	1383	1035
572	1385	1032
573	1386	1029
574	1388	1026
575	1391	1024
576	1393	1021
577	1395	1019
578	1397	1016
579	1399	1013
580	1401	1010
581	1403	1007
582	1406	1006
583	1408	1003
584	1410	1000
585	1411	997
586	1413	994
587	1415	991
588	1416	988
589	1419	986
590	1422	984
591	1424	981
592	1426	978
593	1427	975
594	1429	972
595	1430	969
596	1432	966
597	1435	965
598	1437	962
599	1438	958
600	1439	955
601	1441	952
602	1443	950
603	1444	947
604	1446	944
605	1448	941
606	1450	939
607	1451	936
608	1453	933
609	1454	930
610	1456	927
611	1458	924
612	1459	921
613	1460	918
614	1464	916
615	1466	914
616	1468	911
617	1469	908
618	1472	906
619	1474	903
620	1479	902
621	1482	900
622	1484	898
623	1487	896
624	1489	893
625	1493	892
626	1495	889
627	1496	886
628	1498	883
629	1499	880
630	1501	877
631	1502	874
632	1504	872
633	1505	869
634	1508	867
635	1510	864
636	1512	861
637	1513	858
638	1515	856
639	1516	853
640	1518	850
641	1519	847
642	1523	845
643	1524	842
644	1526	840
645	1527	837
646	1529	834
647	1530	831
648	1531	828
649	1533	825
650	1534	822
651	1538	821
652	1540	818
653	1541	815
654	1543	812
655	1544	810
656	1546	807
657	1547	804
658	1549	801
659	1553	800
660	1556	798
661	1557	795
662	1559	792
663	1560	789
664	1561	786
665	1563	784
666	1566	782
667	1568	779
668	1570	776
669	1571	774
670	1573	771
671	1574	768
672	1576	765
673	1577	763
674	1579	760
675	1582	758
676	1584	756
677	1586	753
678	1588	751
679	1590	748
680	1592	746
681	1594	743
682	1596	741
683	1598	738
684	1599	735
685	1601	732
686	1602	730
687	1603	727
688	1605	724
689	1606	721
690	1611	720
691	1613	718
692	1615	715
693	1617	713
694	1619	710
695	1620	707
696	1622	705
697	1625	703
698	1627	700
699	1628	698
700	1630	695
701	1631	692
702	1633	689
703	1634	687
704	1636	684
705	1637	681
706	1640	680
707	1642	677
708	1643	674
709	1645	672
710	1646	669
711	1648	666
712	1650	664
713	1651	661
714	1655	659
715	1657	657
716	1658	654
717	1659	651
718	1661	649
719	1662	646
720	1664	643
721	1665	641
722	1667	638
723	1670	636
724	1672	634
